Job Title,Company,Location,Date Posted,Job Link
"SQL Developer","Accroid Inc","Boston, MA","2024-11-18","https://www.linkedin.com/jobs/view/sql-developer-at-accroid-inc-4079355536?position=1&pageNum=0&refId=TS1DbMEOxFmrZb7E63gtDA%3D%3D&trackingId=yrrcepWIOEuGBzev2rUJBQ%3D%3D"
"Junior Business Analyst REMOTE","Accroid Inc","United States","2025-01-23","https://www.linkedin.com/jobs/view/junior-business-analyst-remote-at-accroid-inc-4132915099?position=2&pageNum=0&refId=TS1DbMEOxFmrZb7E63gtDA%3D%3D&trackingId=gDoeto0dzKAcYCjhNEOYqA%3D%3D"
"SQL Developer","Snowrelic Inc","New York, NY","2024-10-04","https://www.linkedin.com/jobs/view/sql-developer-at-snowrelic-inc-4043122411?position=3&pageNum=0&refId=TS1DbMEOxFmrZb7E63gtDA%3D%3D&trackingId=xWbK31S%2Bo3E68OhPbHmMdQ%3D%3D"
"**** ***** *****","***** *****","*** ****, **","2024-12-28","https://www.linkedin.com/jobs/view/data-entry-clerk-at-sonar-spark-4111737949?position=4&pageNum=0&refId=TS1DbMEOxFmrZb7E63gtDA%3D%3D&trackingId=2PB61%2BTMDcrE3cocjlk6Uw%3D%3D"
"**** ***** ***** / *********** ($***-****)","*** ******","*** *********, **","2024-12-25","https://www.linkedin.com/jobs/view/data-entry-clerk-transcriber-%2475k-185k-at-pkf-mexico-4130217576?position=5&pageNum=0&refId=TS1DbMEOxFmrZb7E63gtDA%3D%3D&trackingId=ZziYm6Yw3TxkH95dH%2F3LZw%3D%3D"
"**** *******","******* *****","****** ******","2024-09-27","https://www.linkedin.com/jobs/view/data-analyst-at-digital-janet-4036860664?position=6&pageNum=0&refId=TS1DbMEOxFmrZb7E63gtDA%3D%3D&trackingId=n1ByIh2V6E2Iyj%2BpTSxPng%3D%3D"
"**** ***** ***** / *********** ($***-****)","*** ******","*** *******, **","2024-12-25","https://www.linkedin.com/jobs/view/data-entry-clerk-transcriber-%2475k-185k-at-pkf-mexico-4130220303?position=7&pageNum=0&refId=TS1DbMEOxFmrZb7E63gtDA%3D%3D&trackingId=%2B3Wbg6LrI5%2F6mTSemxKdIg%3D%3D"
