Job Title,Company,Location,Date Posted,Job Link
"Software Engineer Intern, 2025","Etsy","Brooklyn, NY","2025-01-27","https://www.linkedin.com/jobs/view/software-engineer-intern-2025-at-etsy-4136580986?position=1&pageNum=0&refId=hiEcPG9ol8QGeHxlqh6kjQ%3D%3D&trackingId=erG%2FMaDOEra4NJws79lHAg%3D%3D"
"Software Engineer - Frontend","LinkedIn","Mountain View, CA","2025-01-09","https://www.linkedin.com/jobs/view/software-engineer-frontend-at-linkedin-4119820431?position=2&pageNum=0&refId=hiEcPG9ol8QGeHxlqh6kjQ%3D%3D&trackingId=CQQzM7Lx0mXtXI45W1zwJQ%3D%3D"
"Full Stack Engineer","Talkspace","New York, NY","2025-01-28","https://www.linkedin.com/jobs/view/full-stack-engineer-at-talkspace-4136241679?position=3&pageNum=0&refId=hiEcPG9ol8QGeHxlqh6kjQ%3D%3D&trackingId=%2BVNmUfQnAETwUbmjuFfRzA%3D%3D"
"******** ********","****","*** ****, **","2025-01-20","https://www.linkedin.com/jobs/view/software-engineer-at-suno-4130750192?position=4&pageNum=0&refId=hiEcPG9ol8QGeHxlqh6kjQ%3D%3D&trackingId=GkbIg7iLuashqB%2BMA%2BvBsg%3D%3D"
"******** ******** (*** ****)","*******","******** ****, **","2025-01-01","https://www.linkedin.com/jobs/view/software-engineer-new-grad-at-codeium-4112843526?position=5&pageNum=0&refId=hiEcPG9ol8QGeHxlqh6kjQ%3D%3D&trackingId=i1eEXtCgDIgGDgkITZUOyg%3D%3D"
"******** ********","****","*** *******, **","2025-01-20","https://www.linkedin.com/jobs/view/software-engineer-at-suno-4130749462?position=6&pageNum=0&refId=hiEcPG9ol8QGeHxlqh6kjQ%3D%3D&trackingId=8mGPrKh5FVJTY6%2BJY8YL2Q%3D%3D"
"******** ********","****","*********, **","2025-01-15","https://www.linkedin.com/jobs/view/software-engineer-at-nike-4126169693?position=7&pageNum=0&refId=hiEcPG9ol8QGeHxlqh6kjQ%3D%3D&trackingId=1A6r%2BfCC0j28dtj6RGt5fA%3D%3D"
